Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
41,8,9,9,12,12,12,15,15,18,21,24,29,32,42,50,54,82,152,272,383,444,538,612,664,752,841,916,918,919,1003,1007,1082,1118,1138,1173,1262,1236,1297,1326,1372,1360,1505,1480,1586,1656,1650,1746,1752,1814,1926,2008,1983,2023,2287,2135,2291,2501,2825,2436,2640,3152
40,9,9,10,12,12,13,15,16,19,22,25,30,33,44,51,58,86,158,288,401,463,558,636,690,779,874,948,952,960,1036,1036,1114,1155,1167,1211,1299,1285,1341,1360,1395,1400,1538,1522,1630,1709,1696,1788,1790,1852,1975,2077,2007,2064,2335,2187,2328,2562,3001,2536,2735,3152
39,9,9,10,13,13,13,16,16,19,23,26,31,34,46,53,61,89,168,304,423,491,582,661,710,811,913,980,982,992,1077,1067,1148,1199,1211,1255,1343,1314,1373,1396,1432,1436,1585,1549,1674,1750,1724,1821,1830,1891,2022,2133,2066,2113,2366,2259,2357,2631,3001,2575,2827,3152
38,9,9,10,14,13,14,17,17,20,24,27,33,35,48,56,63,93,183,321,440,523,605,680,734,843,945,1005,1011,1030,1113,1103,1179,1238,1246,1287,1390,1367,1414,1435,1470,1476,1626,1585,1727,1796,1755,1865,1874,1925,2088,2161,2097,2142,2427,2317,2426,2685,3212,2644,2852,3152
37,9,10,11,14,14,14,18,17,20,25,28,34,37,50,58,65,97,192,335,469,545,635,710,766,874,978,1037,1042,1065,1138,1132,1218,1274,1286,1327,1430,1398,1446,1484,1514,1513,1651,1636,1781,1841,1806,1902,1926,1962,2127,2243,2131,2173,2455,2396,2461,2702,3212,2672,2862,3152
36,9,10,12,15,15,15,18,19,21,26,29,35,38,51,62,67,101,203,353,491,570,655,745,799,908,1006,1067,1078,1093,1180,1162,1249,1313,1328,1361,1457,1445,1490,1527,1547,1556,1698,1683,1850,1893,1860,1955,1982,2006,2170,2259,2193,2212,2499,2438,2495,2757,3212,2762,2920,3152
35,10,11,12,16,16,16,19,19,22,27,30,36,40,53,64,69,106,215,367,518,594,680,776,833,942,1040,1098,1114,1127,1214,1195,1288,1343,1379,1396,1496,1487,1534,1571,1583,1615,1762,1728,1906,1943,1937,1987,2024,2054,2215,2309,2235,2277,2547,2510,2525,2771,3212,2766,2956,3152
34,10,11,13,17,16,16,20,20,23,28,31,38,42,55,67,74,112,230,386,540,618,707,808,869,968,1070,1148,1151,1183,1270,1219,1330,1383,1414,1424,1532,1535,1577,1601,1635,1664,1815,1772,1971,1986,1986,2037,2059,2088,2264,2351,2294,2311,2579,2564,2580,2781,3212,,2968,3152
33,10,12,13,17,17,17,20,21,24,29,33,40,44,57,70,78,117,245,403,566,647,733,836,902,999,1112,1186,1179,1217,1303,1266,1378,1420,1470,1470,1581,1576,1618,1662,1681,1714,1853,1810,2028,2037,2046,2080,2109,2143,2302,2382,2359,2408,2614,2629,2644,2828,3212,,2969,3152
32,11,12,14,19,17,18,21,22,25,31,34,41,45,59,74,84,122,260,423,585,672,765,874,938,1030,1144,1235,1218,1263,1336,1300,1409,1453,1498,1495,1624,1623,1654,1712,1737,1753,1894,1863,2091,2096,2106,2134,2163,2219,2335,2396,2443,2436,2678,2704,2661,2859,3212,,3032,3152
31,11,13,15,20,18,18,22,23,26,32,35,44,47,61,78,89,128,286,452,606,700,791,901,977,1067,1186,1270,1259,1304,1373,1334,1443,1490,1532,1552,1664,1678,1687,1763,1788,1816,1942,1907,2155,2156,2176,2181,2219,2291,2394,2455,2511,2559,2720,2738,2779,2864,3212,,3056,3152
30,11,14,15,21,18,19,23,23,26,33,37,46,49,64,82,93,136,299,479,631,728,821,949,1011,1105,1225,1318,1297,1351,1409,1394,1493,1544,1567,1593,1716,1715,1733,1809,1861,1859,1980,1971,2234,2206,2224,2217,2266,2326,2464,2479,2601,2637,2747,2776,2830,2882,3212,,3056,3152
29,11,15,15,21,18,20,24,24,27,35,38,48,50,67,86,97,143,315,502,655,760,855,995,1053,1144,1277,1363,1348,1391,1449,1440,1529,1582,1614,1646,1760,1770,1784,1866,1907,1907,2029,2015,2271,2264,2294,2274,2327,2397,2518,2586,2668,2698,2787,2864,2872,2979,3212,,3060,3152
28,12,15,16,22,19,20,25,25,29,37,40,50,53,69,89,101,149,345,528,683,786,890,1023,1082,1176,1325,1402,1389,1438,1489,1486,1559,1622,1658,1691,1806,1829,1846,1923,1961,1955,2089,2072,2305,2309,2383,2305,2397,2427,2623,2669,2681,2807,2823,2866,2964,3004,3212,,3060,3152
27,12,16,17,22,20,21,25,26,30,38,42,52,55,73,93,107,160,368,555,716,821,926,1066,1121,1208,1366,1444,1439,1487,1520,1530,1595,1675,1707,1742,1861,1899,1894,1976,2023,2003,2132,2151,2383,2356,2472,2370,2464,2491,2682,2731,2828,2861,2860,2910,3040,3054,3212,,3096,3152
26,13,16,18,23,22,22,27,28,32,40,44,55,57,76,96,112,170,387,576,749,861,953,1108,1160,1248,1424,1500,1492,1531,1574,1570,1642,1722,1779,1790,1900,1932,1940,2035,2085,2074,2186,2251,2421,2422,2584,2435,2527,2575,2737,2833,2872,2953,2917,2940,3048,3054,3212,,3096,3152
25,14,17,19,23,22,23,29,30,34,41,46,57,61,80,101,118,182,404,616,779,898,1002,1149,1215,1287,1468,1561,1548,1585,1636,1639,1675,1765,1843,1837,1958,1993,1994,2085,2134,2130,2242,2312,2511,2472,2607,2506,2575,2627,2791,2892,2918,2988,2942,2957,3048,3054,3212,,3096,3152
24,15,17,20,25,24,24,30,31,36,44,49,62,64,85,108,125,194,430,646,815,936,1035,1188,1262,1325,1511,1602,1610,1641,1680,1687,1736,1819,1890,1917,2003,2057,2049,2137,2213,2212,2347,2374,2610,2513,2654,2546,2601,2680,2857,2907,2974,3183,2980,2968,3086,3054,3212,,3096,3188
