Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
67,15,26,36,40,43,60,76,94,108,124,155,181,202,235,253,270,308,350,385,419,451,484,516,560,601,634,660,694,724,749,792,820,863,891,914,955,993,1003,1042,1090,1099,1153,1185,1213,1252,1318,1335,1374,1443,1478,1511,1541,1602,1649,1693,1731,1804,1851,1898,2009,2314
66,15,27,37,41,46,63,80,98,114,131,163,192,212,247,267,283,322,368,401,435,471,504,536,583,623,660,686,717,749,776,817,849,888,918,942,979,1021,1031,1074,1119,1130,1184,1218,1247,1284,1351,1367,1401,1475,1514,1551,1578,1635,1679,1728,1775,1840,1888,1947,2054,2362
65,16,28,39,43,48,66,85,103,121,139,171,201,224,260,281,299,336,385,418,453,489,524,557,606,645,682,711,740,774,804,849,877,916,948,970,1010,1049,1060,1102,1149,1162,1217,1250,1277,1315,1381,1396,1432,1507,1551,1591,1607,1673,1717,1767,1816,1874,1920,2001,2095,2421
64,16,29,41,45,49,70,89,108,128,146,180,211,236,272,297,313,351,403,436,472,510,545,580,630,669,705,736,766,798,829,874,905,943,976,995,1040,1078,1088,1134,1178,1192,1248,1281,1306,1346,1412,1426,1464,1537,1585,1629,1646,1707,1756,1799,1852,1902,1954,2038,2138,2462
63,17,30,42,46,52,73,94,113,135,154,192,222,248,286,311,328,367,422,453,491,533,565,603,651,692,732,760,794,826,855,900,934,971,1003,1024,1065,1106,1117,1161,1208,1220,1277,1311,1337,1377,1444,1458,1502,1571,1618,1667,1680,1748,1790,1837,1896,1943,2003,2080,2179,2508
62,18,31,43,48,54,76,98,119,142,162,204,231,263,299,324,345,383,439,469,509,554,588,629,676,714,757,785,818,853,882,928,962,1001,1029,1053,1093,1134,1149,1190,1238,1252,1307,1342,1364,1408,1476,1487,1540,1600,1651,1703,1717,1783,1827,1868,1937,1982,2038,2122,2223,2548
61,19,32,45,51,56,80,103,124,150,171,214,243,275,313,337,360,400,457,487,531,576,609,650,702,738,784,811,843,879,911,955,993,1030,1056,1084,1120,1162,1177,1217,1266,1282,1336,1373,1396,1438,1511,1519,1568,1633,1686,1739,1756,1821,1862,1907,1974,2017,2078,2162,2264,2583
60,19,33,47,53,59,84,108,130,157,180,225,255,287,330,355,373,418,476,506,552,596,632,674,723,762,808,835,869,903,940,984,1020,1058,1086,1112,1151,1192,1203,1246,1293,1311,1365,1399,1430,1468,1546,1549,1604,1662,1723,1773,1789,1856,1895,1947,2002,2048,2117,2209,2302,2623
59,20,35,48,56,62,87,114,136,164,190,237,269,302,345,372,392,435,493,527,573,616,654,694,747,788,835,860,894,930,967,1011,1046,1087,1116,1141,1178,1222,1232,1276,1322,1339,1397,1427,1464,1497,1575,1582,1641,1695,1755,1807,1825,1899,1934,1985,2045,2080,2159,2251,2333,2666
58,21,36,50,58,65,91,120,143,171,199,248,282,317,360,387,411,454,511,549,594,640,675,717,772,813,860,888,922,957,994,1037,1073,1115,1142,1170,1203,1250,1261,1309,1352,1369,1428,1456,1497,1526,1609,1613,1674,1732,1790,1841,1857,1932,1971,2027,2087,2118,2205,2294,2374,2705
57,22,37,51,61,68,94,126,151,179,209,260,299,333,378,402,428,474,531,572,617,663,699,739,796,837,887,912,949,986,1021,1066,1102,1141,1170,1197,1232,1277,1290,1338,1382,1396,1456,1487,1528,1556,1641,1647,1707,1765,1820,1873,1889,1969,2004,2062,2121,2148,2257,2332,2414,2741
56,22,39,53,63,70,98,133,160,188,220,273,316,348,397,421,446,491,551,594,639,686,723,764,821,864,914,937,974,1015,1046,1091,1131,1170,1197,1226,1258,1304,1320,1369,1410,1427,1485,1518,1558,1586,1673,1685,1737,1797,1857,1910,1927,2005,2038,2100,2159,2192,2298,2370,2447,2774
55,24,40,55,66,73,101,140,167,198,232,286,329,364,415,442,462,509,575,617,663,708,746,791,848,890,940,963,1000,1041,1073,1120,1158,1195,1224,1255,1285,1333,1350,1397,1439,1456,1512,1550,1590,1619,1707,1719,1772,1834,1891,1949,1960,2042,2073,2132,2202,2230,2341,2407,2485,2806
54,24,42,57,69,76,106,147,175,207,242,298,345,380,433,460,479,530,594,637,687,734,770,819,872,918,965,988,1028,1068,1101,1148,1186,1224,1255,1284,1312,1365,1380,1426,1469,1483,1540,1582,1622,1649,1738,1748,1802,1864,1922,1982,1998,2081,2109,2167,2239,2265,2376,2441,2520,2838
53,25,44,60,71,80,111,155,183,218,254,312,359,397,453,480,497,550,617,659,709,759,793,843,895,946,991,1015,1056,1097,1127,1172,1216,1254,1285,1313,1340,1393,1409,1453,1498,1513,1573,1609,1658,1682,1771,1781,1833,1898,1958,2018,2032,2118,2147,2202,2269,2305,2409,2477,2553,2870
52,27,45,62,74,84,117,162,191,229,265,327,374,414,472,498,517,572,641,680,736,780,817,869,921,971,1016,1042,1081,1125,1156,1203,1241,1286,1313,1341,1370,1420,1438,1484,1529,1543,1604,1643,1693,1713,1800,1820,1864,1934,1995,2055,2078,2151,2182,2237,2304,2346,2448,2514,2585,2904
51,28,47,64,77,88,123,170,201,240,279,344,390,431,491,519,540,595,662,705,758,809,842,895,945,997,1040,1070,1109,1152,1182,1232,1270,1313,1338,1370,1397,1450,1465,1514,1555,1574,1636,1675,1725,1746,1832,1853,1897,1969,2036,2082,2115,2179,2225,2278,2339,2386,2478,2550,2616,2938
50,28,48,67,81,93,127,177,215,250,294,359,410,448,511,539,564,617,685,727,781,831,866,921,971,1024,1067,1097,1139,1178,1207,1259,1301,1344,1370,1399,1425,1479,1494,1543,1585,1604,1667,1707,1755,1777,1865,1881,1930,2004,2070,2123,2155,2220,2253,2324,2378,2425,2521,2580,2643,2970
49,30,50,69,85,100,134,185,225,263,306,373,428,467,532,560,589,640,707,751,809,856,895,947,999,1049,1093,1124,1168,1210,1237,1285,1330,1374,1401,1429,1452,1507,1526,1574,1616,1633,1701,1738,1786,1806,1899,1918,1962,2040,2105,2156,2188,2253,2291,2374,2413,2460,2557,2613,2678,2996
48,31,52,71,88,104,139,193,237,275,321,391,447,486,551,581,612,663,734,775,835,880,923,973,1026,1074,1119,1152,1198,1240,1267,1311,1358,1401,1429,1459,1480,1536,1556,1603,1648,1665,1737,1770,1817,1840,1932,1952,1997,2073,2144,2193,2229,2288,2330,2413,2452,2493,2590,2640,2711,3025
47,32,54,75,92,110,145,204,250,289,336,407,468,509,574,605,635,687,762,799,861,903,947,1000,1055,1103,1148,1181,1225,1268,1292,1338,1386,1432,1462,1491,1512,1566,1591,1635,1681,1699,1769,1804,1850,1874,1965,1988,2029,2104,2178,2231,2267,2318,2369,2453,2487,2531,2617,2662,2747,3058
46,33,57,79,96,115,153,214,263,303,349,426,488,529,599,632,658,711,787,824,891,928,972,1028,1082,1129,1174,1209,1254,1296,1321,1371,1411,1457,1490,1523,1542,1598,1619,1665,1713,1729,1807,1837,1884,1908,1998,2022,2064,2139,2215,2268,2300,2353,2410,2487,2518,2564,2653,2708,2780,3109
45,34,60,82,99,121,158,224,275,320,364,443,510,552,623,655,683,735,812,850,917,957,1002,1053,1112,1158,1205,1238,1284,1327,1346,1400,1440,1490,1518,1552,1571,1631,1650,1699,1745,1763,1836,1869,1918,1940,2036,2059,2095,2175,2248,2304,2337,2391,2449,2528,2550,2606,2687,2750,2811,3131
44,35,63,87,103,126,167,234,288,334,378,462,532,576,644,678,711,762,838,878,942,984,1030,1079,1138,1186,1234,1264,1312,1354,1374,1427,1469,1520,1548,1584,1602,1663,1684,1729,1778,1796,1871,1903,1959,1974,2068,2095,2133,2211,2287,2336,2380,2426,2478,2565,2582,2648,2717,2780,2841,3152
43,37,65,90,108,131,174,245,302,349,396,485,551,599,669,699,734,784,866,906,971,1010,1054,1106,1167,1213,1262,1293,1344,1385,1404,1455,1502,1549,1577,1614,1632,1694,1718,1763,1813,1833,1904,1939,1996,2013,2110,2129,2168,2245,2324,2383,2420,2464,2514,2606,2623,2690,2741,2817,2870,3172
42,38,67,93,113,136,184,260,319,368,414,504,571,622,695,723,763,809,891,932,999,1039,1085,1133,1194,1240,1289,1321,1374,1411,1432,1482,1533,1585,1605,1643,1665,1728,1754,1795,1847,1871,1937,1974,2030,2051,2148,2162,2197,2283,2366,2424,2454,2501,2557,2642,2658,2721,2770,2853,2903,3195
41,40,71,98,120,142,193,275,331,390,434,526,596,649,721,745,788,836,918,959,1029,1067,1112,1161,1222,1269,1319,1348,1403,1441,1463,1515,1563,1618,1636,1671,1702,1759,1793,1828,1884,1909,1972,2006,2066,2088,2180,2194,2234,2314,2405,2456,2488,2538,2591,2667,2692,2758,2801,2880,2932,3211
40,42,73,102,126,150,203,289,347,404,456,547,619,676,747,773,810,865,943,989,1056,1096,1140,1192,1253,1295,1348,1379,1431,1472,1493,1546,1591,1652,1665,1702,1734,1792,1827,1858,1916,1943,2004,2043,2098,2121,2213,2230,2271,2351,2441,2488,2533,2570,2625,2701,2727,2788,2828,2909,2964,3234
39,43,77,107,133,158,214,302,371,421,476,567,644,700,772,799,834,891,971,1018,1083,1127,1168,1224,1282,1328,1374,1406,1462,1500,1523,1574,1622,1681,1698,1733,1769,1826,1859,1892,1951,1977,2043,2077,2131,2155,2250,2268,2310,2388,2475,2524,2577,2603,2661,2740,2761,2821,2868,2941,2984,3247
38,45,80,112,139,167,226,318,385,441,496,593,670,723,802,828,863,921,1006,1052,1112,1156,1198,1254,1309,1357,1404,1440,1492,1531,1556,1611,1652,1714,1731,1768,1804,1859,1894,1931,1988,2013,2078,2111,2168,2193,2286,2308,2343,2424,2511,2567,2609,2645,2699,2771,2799,2855,2894,2974,3015,3268
37,47,83,116,145,173,237,334,400,462,519,616,698,749,833,858,892,949,1034,1082,1138,1187,1228,1285,1341,1389,1435,1470,1525,1562,1587,1642,1685,1747,1764,1805,1838,1895,1928,1964,2025,2053,2112,2143,2202,2231,2320,2348,2382,2459,2544,2613,2644,2679,2725,2810,2823,2892,2922,3006,3040,3281
